"id","type","rm_start","side","site_id","end_site_id","comments"
699,"nonnative",-15.78,"L","-15.78 L","-15.50 L","below spillway"
698,"nonnative",-15.73,"R","-15.73 R","-15.45 R","below spillway"
10,"monitoring",-14.59,"L","-14.59 L","-14.45 L",""
700,"nonnative",-14.34,"L","-14.34 L","-14.29 L","14 mile spring"
12,"monitoring",-14.31,"L","-14.31 L","-14.17 L",""
701,"nonnative",-14.28,"L","-14.28 L","-13.94 L","Rocky_shoreline"
595,"monitoring",-13.95,"R","-13.95 R","-13.81 R",""
702,"nonnative",-13.72,"R","-13.72 R","-13.69 R","spring inflow"
703,"nonnative",-13.5,"L","-13.5 L","-13.49 L","spring inflow"
599,"monitoring",-13.42,"R","-13.42 R","-13.27 R",""
603,"monitoring",-12.83,"R","-12.83 R","-12.67 R",""
24,"monitoring",-12.55,"L","-12.55 L","-12.44 L",""
605,"monitoring",-12.5,"R","-12.5 R","-12.35 R",""
710,"nonnative",-12.33,"L","-12.33 L","-12.4 L","along shore inside slough, downstream part"
709,"nonnative",-12.09,"L","-12.09 L","-12.33 L","along shore inside slough, downstream part"
711,"nonnative",-12.09,"L","-12.09 L","-12.33 L","along cobble bar inside slough"
32,"monitoring",-12.01,"L","-12.01 L","-11.87 L",""
610,"monitoring",-11.82,"R","-11.82 R","-11.68 R",""
34,"monitoring",-11.72,"L","-11.72 L","-11.55 L",""
704,"nonnative",-11.02,"L","-11.02 L","-10.92 L","below ferry swale bar"
39,"monitoring",-10.92,"L","-10.92 L","-10.8 L","yellow end "
705,"nonnative",-10.85,"L","-10.85 L","-10.62 L","rocky shoreline "
40,"monitoring",-10.8,"L","-10.8 L","-10.65 L","yellow start "
621,"monitoring",-10.3,"R","-10.3 R","-10.17 R",""
628,"monitoring",-9.17,"R","-9.17 R","-8.99 R",""
55,"monitoring",-8.61,"L","-8.61 L","-8.47 L","yellow end "
56,"monitoring",-8.47,"L","-8.47 L","-8.33 L","yellow start "
59,"monitoring",-8.04,"L","-8.04 L","-7.88 L",""
638,"monitoring",-7.63,"R","-7.63 R","-7.47 R",""
640,"monitoring",-7.33,"R","-7.33 R","-7.19 R","yellow end "
641,"monitoring",-7.19,"R","-7.19 R","-7.04 R","yellow start "
706,"nonnative",-6.9,"L","-6.9 L","-6.85 L","backwater"
644,"monitoring",-6.7,"R","-6.7 R","-6.55 R",""
650,"monitoring",-5.91,"R","-5.91 R","-5.79 R",""
75,"monitoring",-5.68,"L","-5.68 L","-5.52 L","yellow end "
76,"monitoring",-5.52,"L","-5.52 L","-5.37 L","yellow start "
80,"monitoring",-4.91,"L","-4.91 L","-4.76 L","yellow end "
81,"monitoring",-4.76,"L","-4.76 L","-4.61 L","yellow start "
658,"monitoring",-4.75,"R","-4.75 R","-4.61 R",""
663,"monitoring",-4.02,"R","-4.02 R","-4.06 R","four mile bar"
88,"monitoring",-3.75,"L","-3.75 L","-3.62 L",""
668,"monitoring",-3.38,"R","-3.38 R","-3.22 R",""
707,"nonnative",-3.32,"L","-3.32 L","-3.29 L","warm spring inflow"
672,"monitoring",-2.75,"R","-2.75 R","-2.6 R","yellow end "
673,"monitoring",-2.6,"R","-2.6 R","-2.45 R","yellow start "
97,"monitoring",-2.46,"L","-2.46 L","-2.33 L",""
100,"monitoring",-2.08,"L","-2.08 L","-1.94 L",""
102,"monitoring",-1.82,"L","-1.82 L","-1.67 L",""
679,"monitoring",-1.64,"R","-1.64 R","-1.49 R",""
708,"nonnative",-1.5,"L","-1.5 L","-1.47 L","backwater"
682,"monitoring",-1.18,"R","-1.18 R","-1.03 R",""
109,"monitoring",-0.84,"L","-0.84 L","-0.67 L",""
687,"monitoring",-0.47,"R","-0.47 R","-0.35 R","yellow end "
688,"monitoring",-0.35,"R","-0.35 R","-0.22 R","yellow start "
